country_id,country_slug,year,page_url,average_height,average_age,match_count,match_ids,scraped_at_utc
12,Australia,1995,https://national-football-teams.com/country/12/1995/Australia.html,1.84m,24.7,9,"['27383/Australia_Ghana.html', '27384/Australia_Ghana.html', '27342/Australia_Colombia.html', '27343/Australia_Colombia.html', '27381/Australia_Japan.html', '27382/Australia_Ghana.html', '27385/Argentina_Australia.html', '27386/New_Zealand_Australia.html', '27387/Australia_New_Zealand.html']",2026-04-16T09:33:40+00:00
12,Australia,1996,https://national-football-teams.com/country/12/1996/Australia.html,1.83m,25.4,12,"['26530/Australia_Japan.html', '26531/Australia_Japan.html', '26532/Australia_Sweden.html', '26533/Australia_Sweden.html', '26534/Scotland_Australia.html', '26535/Chile_Australia.html', '26536/Australia_Ghana.html', '26524/South_Africa_Australia.html', '26537/Australia_Kenya.html', '7420/Saudi_Arabia_Australia.html', '26538/Tahiti_Australia.html', '26539/Australia_Tahiti.html']",2026-04-16T09:33:40+00:00
12,Australia,1997,https://national-football-teams.com/country/12/1997/Australia.html,1.83m,26,19,"['25658/Australia_New_Zealand.html', '25648/Australia_South_Korea.html', '25649/Australia_Norway.html', '25650/North_Macedonia_Australia.html', '25651/Hungary_Australia.html', '25659/Australia_Solomon_Islands.html', '25660/Australia_Tahiti.html', '25661/Australia_Solomon_Islands.html', '25662/Australia_Tahiti.html', '25663/New_Zealand_Australia.html', '25664/Australia_New_Zealand.html', '25652/Tunisia_Australia.html', '25653/Iran_Australia.html', '25654/Australia_Iran.html', '25655/Australia_Mexico.html', '25629/Australia_Brazil.html', '25656/Saudi_Arabia_Australia.html', '25657/Australia_Uruguay.html', '25632/Australia_Brazil.html']",2026-04-16T09:33:40+00:00
12,Australia,1998,https://national-football-teams.com/country/12/1998/Australia.html,1.83m,25,9,"['24983/Australia_Chile.html', '24984/Australia_South_Korea.html', '24985/Australia_Japan.html', '24986/Croatia_Australia.html', '24988/Australia_Fiji.html', '24989/Australia_Cook_Islands.html', '24990/Australia_Tahiti.html', '24991/Australia_New_Zealand.html', '24987/Usa_Australia.html']",2026-04-16T09:33:40+00:00
12,Australia,1999,https://national-football-teams.com/country/12/1999/Australia.html,0m,0,0,[],2026-04-16T09:33:40+00:00
12,Australia,2000,https://national-football-teams.com/country/12/2000/Australia.html,1.84m,25.7,15,"['22248/Chile_Australia.html', '22249/Australia_Slovakia.html', '22250/Australia_Bulgaria.html', '22251/Hungary_Australia.html', '22252/Czechia_Australia.html', '22253/Australia_Paraguay.html', '22254/Australia_Paraguay.html', '22255/Australia_Paraguay.html', '22259/Australia_Cook_Islands.html', '22260/Australia_Solomon_Islands.html', '22261/Australia_Vanuatu.html', '22262/Australia_New_Zealand.html', '22256/Australia_Kuwait.html', '22257/South_Korea_Australia.html', '22258/Scotland_Australia.html']",2026-04-16T09:33:40+00:00
12,Australia,2001,https://national-football-teams.com/country/12/2001/Australia.html,1.83m,25.7,16,"['20983/Colombia_Australia.html', '21003/Australia_Tonga.html', '21004/Australia_American_Samoa.html', '21005/Australia_Fiji.html', '21006/Australia_Samoa.html', '20998/Mexico_Australia.html', '20936/Australia_France.html', '20999/South_Korea_Australia.html', '20955/Japan_Australia.html', '21000/Australia_Brazil.html', '21007/New_Zealand_Australia.html', '21008/Australia_New_Zealand.html', '20958/Japan_Australia.html', '20929/Australia_France.html', '21001/Australia_Uruguay.html', '21002/Uruguay_Australia.html']",2026-04-16T09:33:40+00:00
12,Australia,2002,https://national-football-teams.com/country/12/2002/Australia.html,1.81m,28.3,5,"['19794/Australia_Vanuatu.html', '19795/Australia_New_Caledonia.html', '19796/Australia_Fiji.html', '19797/Australia_Tahiti.html', '19798/New_Zealand_Australia.html']",2026-04-16T09:33:40+00:00
12,Australia,2003,https://national-football-teams.com/country/12/2003/Australia.html,1.84m,27,3,"['18821/England_Australia.html', '18822/Ireland_Australia.html', '18823/Australia_Jamaica.html']",2026-04-16T09:33:44+00:00
12,Australia,2004,https://national-football-teams.com/country/12/2004/Australia.html,1.84m,26.1,12,"['17906/Venezuela_Australia.html', '17907/South_Africa_Australia.html', '17910/Australia_Turkey.html', '17909/Australia_Turkey.html', '891/Australia_New_Zealand.html', '2149/Australia_Tahiti.html', '2152/Australia_Fiji.html', '2155/Australia_Vanuatu.html', '2158/Australia_Solomon_Islands.html', '2162/Solomon_Islands_Australia.html', '2161/Australia_Solomon_Islands.html', '17911/Australia_Norway.html']",2026-04-16T09:33:44+00:00
12,Australia,2005,https://national-football-teams.com/country/12/2005/Australia.html,1.83m,27.3,12,"['17357/South_Africa_Australia.html', '17358/Australia_Iraq.html', '17359/Australia_Indonesia.html', '17354/Australia_New_Zealand.html', '17280/Germany_Australia.html', '17287/Australia_Argentina.html', '17304/Australia_Tunisia.html', '17355/Australia_Solomon_Islands.html', '17356/Solomon_Islands_Australia.html', '17360/Australia_Jamaica.html', '906/Uruguay_Australia.html', '908/Australia_Uruguay.html']",2026-04-16T09:33:44+00:00
12,Australia,2006,https://national-football-teams.com/country/12/2006/Australia.html,1.82m,26.8,13,"['1579/Bahrain_Australia.html', '14336/Australia_Greece.html', '14281/Netherlands_Australia.html', '14609/Liechtenstein_Australia.html', '32/Australia_Japan.html', '33/Brazil_Australia.html', '36/Croatia_Australia.html', '53/Italy_Australia.html', '1581/Australia_Kuwait.html', '1582/Kuwait_Australia.html', '14372/Australia_Paraguay.html', '1583/Australia_Bahrain.html', '13899/Australia_Ghana.html']",2026-04-16T09:33:44+00:00
12,Australia,2007,https://national-football-teams.com/country/12/2007/Australia.html,1.82m,26.5,10,"['12969/Australia_Denmark.html', '12968/China_Australia.html', '12967/Australia_Uruguay.html', '12966/Singapore_Australia.html', '1510/Australia_Oman.html', '1512/Iraq_Australia.html', '1514/Thailand_Australia.html', '1534/Japan_Australia.html', '12957/Australia_Argentina.html', '12965/Australia_Nigeria.html']",2026-04-16T09:33:45+00:00
12,Australia,2008,https://national-football-teams.com/country/12/2008/Australia.html,1.82m,25.7,13,"['2494/Australia_Qatar.html', '12341/Singapore_Australia.html', '2496/China_Australia.html', '12340/Australia_Ghana.html', '2498/Australia_Iraq.html', '2501/Iraq_Australia.html', '2503/Qatar_Australia.html', '2504/Australia_China.html', '12220/Australia_South_Africa.html', '12339/Netherlands_Australia.html', '2556/Uzbekistan_Australia.html', '2558/Australia_Qatar.html', '2560/Bahrain_Australia.html']",2026-04-16T09:33:45+00:00
12,Australia,2009,https://national-football-teams.com/country/12/2009/Australia.html,1.82m,26.4,12,"['3188/Indonesia_Australia.html', '2562/Japan_Australia.html', '3186/Australia_Kuwait.html', '2566/Australia_Uzbekistan.html', '2569/Qatar_Australia.html', '2571/Australia_Bahrain.html', '2573/Australia_Japan.html', '11637/Ireland_Australia.html', '11636/South_Korea_Australia.html', '11635/Australia_Netherlands.html', '3189/Australia_Oman.html', '3191/Oman_Australia.html']",2026-04-16T09:33:45+00:00
12,Australia,2010,https://national-football-teams.com/country/12/2010/Australia.html,1.81m,27.2,13,"['3194/Kuwait_Australia.html', '3195/Australia_Indonesia.html', '10485/Australia_New_Zealand.html', '10484/Australia_Denmark.html', '10431/Usa_Australia.html', '2207/Germany_Australia.html', '2210/Ghana_Australia.html', '2212/Australia_Serbia.html', '10483/Slovenia_Australia.html', '10482/Switzerland_Australia.html', '10481/Poland_Australia.html', '10480/Australia_Paraguay.html', '10479/Egypt_Australia.html']",2026-04-16T09:33:45+00:00
12,Australia,2011,https://national-football-teams.com/country/12/2011/Australia.html,1.82m,26.7,17,"['9872/United_Arab_Emirates_Australia.html', '9786/India_Australia.html', '9847/Australia_South_Korea.html', '9871/Australia_Bahrain.html', '9870/Australia_Iraq.html', '9869/Uzbekistan_Australia.html', '9804/Australia_Japan.html', '9868/Germany_Australia.html', '9867/Australia_New_Zealand.html', '8274/Australia_Serbia.html', '9866/Wales_Australia.html', '3999/Australia_Thailand.html', '4000/Saudi_Arabia_Australia.html', '9865/Australia_Malaysia.html', '4002/Australia_Oman.html', '4004/Oman_Australia.html', '4006/Thailand_Australia.html']",2026-04-16T09:33:49+00:00
12,Australia,2012,https://national-football-teams.com/country/12/2012/Australia.html,1.82m,26.2,13,"['4008/Australia_Saudi_Arabia.html', '8522/Denmark_Australia.html', '4039/Oman_Australia.html', '4040/Australia_Japan.html', '8523/Scotland_Australia.html', '8524/Lebanon_Australia.html', '4043/Jordan_Australia.html', '4045/Iraq_Australia.html', '8477/South_Korea_Australia.html', '8525/Hong_Kong_Australia.html', '8526/North_Korea_Australia.html', '8527/Guam_Australia.html', '8528/Australia_Taiwan.html']",2026-04-16T09:33:49+00:00
12,Australia,2013,https://national-football-teams.com/country/12/2013/Australia.html,1.83m,26,12,"['7850/Romania_Australia.html', '4049/Australia_Oman.html', '8027/Japan_Australia.html', '8114/Australia_Jordan.html', '8172/Australia_Iraq.html', '8459/South_Korea_Australia.html', '8501/Japan_Australia.html', '8514/Australia_China.html', '8786/Brazil_Australia.html', '8957/France_Australia.html', '9023/Canada_Australia.html', '9363/Australia_Costa_Rica.html']",2026-04-16T09:34:09+00:00
12,Australia,2014,https://national-football-teams.com/country/12/2014/Australia.html,1.82m,25.2,11,"['10039/Australia_Ecuador.html', '10576/Australia_South_Africa.html', '10677/Croatia_Australia.html', '9679/Chile_Australia.html', '9680/Australia_Netherlands.html', '9682/Australia_Spain.html', '11152/Belgium_Australia.html', '11203/Saudi_Arabia_Australia.html', '11414/United_Arab_Emirates_Australia.html', '11447/Qatar_Australia.html', '11750/Japan_Australia.html']",2026-04-16T09:34:09+00:00
12,Australia,2015,https://national-football-teams.com/country/12/2015/Australia.html,1.81m,25.8,14,"['12177/Australia_Kuwait.html', '12201/Australia_Oman.html', '12203/Australia_South_Korea.html', '12256/Australia_China.html', '12308/Australia_United_Arab_Emirates.html', '12324/Australia_South_Korea.html', '12753/Germany_Australia.html', '12848/North_Macedonia_Australia.html', '13292/Kyrgyzstan_Australia.html', '13666/Australia_Bangladesh.html', '13713/Tajikistan_Australia.html', '13966/Jordan_Australia.html', '14139/Australia_Kyrgyzstan.html', '14215/Bangladesh_Australia.html']",2026-04-16T09:34:09+00:00
12,Australia,2016,https://national-football-teams.com/country/12/2016/Australia.html,1.82m,25.2,10,"['14865/Australia_Tajikistan.html', '14935/Australia_Jordan.html', '15365/England_Australia.html', '15436/Australia_Greece.html', '15457/Australia_Greece.html', '15714/Australia_Iraq.html', '15767/United_Arab_Emirates_Australia.html', '15832/Saudi_Arabia_Australia.html', '15911/Australia_Japan.html', '16050/Thailand_Australia.html']",2026-04-16T09:34:09+00:00
12,Australia,2017,https://national-football-teams.com/country/12/2017/Australia.html,1.82m,25.8,13,"['17026/Iraq_Australia.html', '17099/Australia_United_Arab_Emirates.html', '17637/Australia_Saudi_Arabia.html', '17728/Australia_Brazil.html', '17743/Australia_Germany.html', '17746/Cameroon_Australia.html', '17750/Chile_Australia.html', '18050/Japan_Australia.html', '18124/Australia_Thailand.html', '18328/Syria_Australia.html', '18407/Australia_Syria.html', '18464/Honduras_Australia.html', '18512/Australia_Honduras.html']",2026-04-16T09:34:09+00:00
12,Australia,2018,https://national-football-teams.com/country/12/2018/Australia.html,1.81m,26.4,11,"['19483/Norway_Australia.html', '19584/Colombia_Australia.html', '20182/Australia_Czechia.html', '20245/Hungary_Australia.html', '15647/France_Australia.html', '15649/Denmark_Australia.html', '20279/Australia_Peru.html', '20869/Kuwait_Australia.html', '21222/Australia_South_Korea.html', '21272/Australia_Lebanon.html', '21714/Oman_Australia.html']",2026-04-16T09:34:10+00:00
12,Australia,2019,https://national-football-teams.com/country/12/2019/Australia.html,1.81m,26.3,10,"['21787/Australia_Jordan.html', '21854/Palestine_Australia.html', '21878/Australia_Syria.html', '22023/Australia_Uzbekistan.html', '22076/United_Arab_Emirates_Australia.html', '23199/South_Korea_Australia.html', '23967/Kuwait_Australia.html', '24155/Australia_Nepal.html', '24273/Taiwan_Australia.html', '24372/Jordan_Australia.html']",2026-04-16T09:34:12+00:00
12,Australia,2020,https://national-football-teams.com/country/12/2020/Australia.html,0m,0,0,[],2026-04-16T09:34:13+00:00
12,Australia,2021,https://national-football-teams.com/country/12/2021/Australia.html,1.82m,27.4,10,"['30961/Kuwait_Australia.html', '31025/Australia_Taiwan.html', '31090/Nepal_Australia.html', '31122/Australia_Jordan.html', '31713/Australia_China.html', '31806/Vietnam_Australia.html', '32069/Australia_Oman.html', '32184/Japan_Australia.html', '32464/Australia_Saudi_Arabia.html', '32567/China_Australia.html']",2026-04-16T09:34:13+00:00
12,Australia,2022,https://national-football-teams.com/country/12/2022/Australia.html,1.81m,26.7,13,"['33188/Australia_Vietnam.html', '33237/Oman_Australia.html', '34104/Australia_Japan.html', '34212/Saudi_Arabia_Australia.html', '34656/Australia_Jordan.html', '34763/United_Arab_Emirates_Australia.html', '34896/Australia_Peru.html', '35284/Australia_New_Zealand.html', '35350/New_Zealand_Australia.html', '35585/France_Australia.html', '35625/Tunisia_Australia.html', '35648/Australia_Denmark.html', '35718/Argentina_Australia.html']",2026-04-16T09:34:13+00:00
12,Australia,2023,https://national-football-teams.com/country/12/2023/Australia.html,1.81m,25.3,8,"['36494/Australia_Ecuador.html', '36597/Australia_Ecuador.html', '36907/Argentina_Australia.html', '37341/Mexico_Australia.html', '37503/England_Australia.html', '37574/Australia_New_Zealand.html', '37671/Australia_Bangladesh.html', '37810/Palestine_Australia.html']",2026-04-16T09:34:13+00:00
